,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
13638,TNFAIP8L3_+_51386760.23-P1P2|TNFAIP8L3_+_51386996.23-P1P2,0.020195352,-0.002737477,-0.00216812,-0.002251368,TNFAIP8L3,predicted,0.008728937,-0.002209744,VERDADERO,FALSO,FALSO
20456,PCDH20_+_61989283.23-P1P2|PCDH20_-_61989301.23-P1P2,-0.000244547,0.017730529,-0.061133078,0.01717579,PCDH20,predicted,0.008742991,-0.021978644,FALSO,FALSO,FALSO
11229,GSDMB_+_38074618.23-P1P2|GSDMB_+_38074860.23-P1P2,0.012704575,0.004781728,0.017411417,-0.01716572,GSDMB,predicted,0.008743151,0.000122848,FALSO,FALSO,FALSO
4967,ZNF736_-_63767882.23-P2|ZNF736_+_63767885.23-P2,0.015935926,0.001551092,-0.014670597,-0.019536054,ZNF736,predicted,0.008743509,-0.017103326,VERDADERO,FALSO,FALSO
1312,CRIP1_-_105953716.23-P1P2|CRIP1_+_105953591.23-P1P2,0.014677514,0.002811931,-0.027706201,-0.021504588,CRIP1,predicted,0.008744722,-0.024605395,VERDADERO,FALSO,FALSO
5192,PKD1L1_+_47988024.23-P1P2|PKD1L1_+_47988033.23-P1P2,0.022647351,-0.005153068,-0.003708199,-0.023891311,PKD1L1,predicted,0.008747142,-0.013799755,FALSO,FALSO,FALSO
17911,LUZP6_+_135613212.23-P1P2|LUZP6_+_135613231.23-P1P2,-0.00802091,0.025522681,-0.026730865,-0.026842118,LUZP6,predicted,0.008750885,-0.026786492,FALSO,FALSO,FALSO
7186,CHRNA1_-_175629149.23-P1P2|CHRNA1_-_175629142.23-P1P2,0.006949028,0.010556313,0.023491429,0.020045975,CHRNA1,predicted,0.008752671,0.021768702,FALSO,FALSO,FALSO
14292,TMBIM1_+_219157193.23-P1P2|TMBIM1_+_219157217.23-P1P2,0.005823,0.011684092,-0.011613984,-0.016355695,TMBIM1,predicted,0.008753546,-0.01398484,VERDADERO,FALSO,FALSO
9248,DMC1_-_38966148.23-P1P2|DMC1_+_38966174.23-P1P2,0.001216604,0.016295265,-0.027877,0.024441148,DMC1,predicted,0.008755934,-0.001717926,VERDADERO,FALSO,FALSO
3600,GPD1L_-_32148092.23-P1P2|GPD1L_+_32148178.23-P1P2,-0.003088322,0.020605017,0.005579253,0.000925308,GPD1L,predicted,0.008758347,0.003252281,VERDADERO,FALSO,FALSO
10939,NRSN2_+_327752.23-P1P2|NRSN2_-_327532.23-P1P2,0.009059925,0.008458803,0.022406732,-0.004108888,NRSN2,predicted,0.008759364,0.009148922,VERDADERO,FALSO,FALSO
8540,INPP5J_-_31518990.23-P1P2|INPP5J_+_31519183.23-P1P2,-0.003490881,0.021013061,-0.010077684,-0.014560422,INPP5J,predicted,0.00876109,-0.012319053,FALSO,FALSO,FALSO
5962,non-targeting_01244|non-targeting_00796,-0.007584278,0.025112699,0.009392425,-0.022463797,non-targeting,negative_control,0.008764211,-0.006535686,FALSO,FALSO,FALSO
3468,PRODH_-_18923767.23-P1|PRODH_-_18923755.23-P1,0.001216604,0.016316567,-0.021129518,-0.009636483,PRODH,predicted,0.008766585,-0.015383,VERDADERO,FALSO,FALSO
2120,PPP1R18_+_30652546.23-P2|PPP1R18_+_30652563.23-P2,0.001847335,0.015687687,0.029046883,0.012577622,PPP1R18,predicted,0.008767511,0.020812252,VERDADERO,FALSO,FALSO
10286,NODAL_-_72201404.23-P1P2|NODAL_+_72201368.23-P1P2,0.014839192,0.002701664,-0.01987532,-0.030661468,NODAL,predicted,0.008770428,-0.025268394,VERDADERO,FALSO,FALSO
8602,HERC3_-_89513666.23-P1P2|HERC3_-_89513708.23-P1P2,-2.24184E-05,0.017566755,0.014263426,-0.019196569,HERC3,predicted,0.008772168,-0.002466571,VERDADERO,FALSO,FALSO
8439,PEAK1_+_77712398.23-P1P2|PEAK1_+_77712420.23-P1P2,-0.008582196,0.026146288,0.005895619,-0.028653445,PEAK1,predicted,0.008782046,-0.011378913,VERDADERO,FALSO,FALSO
19769,ANKRD22_-_90611584.23-P1P2|ANKRD22_+_90611514.23-P1P2,0.056522108,-0.038956213,-0.022932905,-0.027016659,ANKRD22,predicted,0.008782948,-0.024974782,FALSO,FALSO,FALSO
5968,PRICKLE4_-_41748564.23-P1P2|PRICKLE4_+_41748570.23-P1P2,-0.002820952,0.020390345,0.014712147,0.015157829,PRICKLE4,predicted,0.008784696,0.014934988,VERDADERO,FALSO,FALSO
4213,B3GAT2_+_71666744.23-P1P2|B3GAT2_+_71666697.23-P1P2,0.0089938,0.008579615,0.010352097,-0.002766447,B3GAT2,predicted,0.008786708,0.003792825,VERDADERO,FALSO,FALSO
18394,CCR1_-_46249785.23-P1P2|CCR1_-_46249776.23-P1P2,0.015606632,0.001968092,-0.021599273,-0.009135437,CCR1,predicted,0.008787362,-0.015367355,FALSO,FALSO,FALSO
7444,OR6P1_+_158533377.23-ENST00000334632.1|OR6P1_+_158533347.23-ENST00000334632.1,0.005185194,0.012395267,0.024106313,-0.004456608,OR6P1,predicted,0.00879023,0.009824852,FALSO,FALSO,FALSO
